"","x"
"1","Acanthocyclops adult"
"2","Acanthocyclops vernalis adult"
"3","Acanthocyclops vernalis copepodid"
"4","Acartia"
"5","Acartia copepodid"
"6","Acartiella copepodid"
"7","Acartiella sinensis"
"8","Acartiella sinensis adult"
"9","Alona"
"10","Alonella"
"11","Americorophium"
"12","Amphipod"
"13","Anchistropus"
"14","Annelid"
"15","Annelida"
"16","Asplanchna"
"17","Baby Clam"
"18","Baby snail"
"19","Barnacle nauplii"
"20","Barnacles"
"21","Bivalve"
"22","Bivalve veliger"
"23","Bivalvia veliger"
"24","Bosmina"
"25","Brachionus"
"26","Calanoid adult"
"27","Calanoid copepodid"
"28","Camptocercus"
"29","Ceriodaphnia"
"30","Chironomidae larvae"
"31","Chironomidae pupae"
"32","Chydorus"
"33","Cladocera"
"34","Cladocera nauplii"
"35","Clam"
"36","Copepod nauplii"
"37","Copepodid nauplii"
"38","Corophium"
"39","Crab zoea"
"40","Cumacean"
"41","Cyclopoid adult"
"42","Cyclopoid copepodid"
"43","Cyclopoid copepodite"
"44","Daphnia"
"45","Diacyclops thomasi"
"46","Diaphanosoma"
"47","Diaptomidae copepodite"
"48","Diaptomus"
"49","Diaptomus copepodid"
"50","Disparalona"
"51","Dunhevedia"
"52","Ectocyclops phaleratus"
"53","Euchlanis"
"54","Eucyclops"
"55","Eucyclops adult"
"56","Eucyclops agilis"
"57","Eucyclops elegans"
"58","Eucyclops pectinifer"
"59","Eucyclops prionophorus"
"60","Eurycercus"
"61","Eurytemora affinis adult"
"62","Eurytemora affinis copepodid"
"63","Eurytemora affinis copepodite"
"64","Eurytemora nauplii"
"65","Fish"
"66","Fish eggs"
"67","Gammaridae"
"68","Gammarus"
"69","Gammarus daiberi"
"70","Gastropod"
"71","Gastropod veliger"
"72","Graptoleberis"
"73","Harpacticoid"
"74","Harpacticoids"
"75","Harpaticoid"
"76","Hesperodiaptomus franciscanus"
"77","Hyalella"
"78","Hydrachnidae"
"79","Hydrachnidia"
"80","Hydroptilidae larvae"
"81","Ilyocryptus"
"82","Insect larvae"
"83","Isopod"
"84","Keratella"
"85","Kurzia"
"86","Larval Fish"
"87","Lecane"
"88","Lepadella"
"89","Leydigia"
"90","Limnoithona"
"91","Limnoithona copepodid"
"92","Limnoithona copepodite"
"93","Limnoithona sinensis"
"94","Limnoithona sinensis adult"
"95","Limnoithona tetraspina"
"96","Limnoithona tetraspina adult"
"97","Macrocyclops adult"
"98","Macrocyclops albidus"
"99","Macrothrix"
"100","Maeotias marginata (large)"
"101","Mesocyclops edax"
"102","Microcyclops adult"
"103","Microcyclops rubellus"
"104","Moina"
"105","Monospilus"
"106","Monospilus dispar"
"107","Mysids"
"108","Nematoda"
"109","Notholca"
"110","Oithona"
"111","Oithona copepodid"
"112","Oithona davisae"
"113","Oithona similis"
"114","Osphranticum copepodid"
"115","Osphranticum labronectum"
"116","Ostracod"
"117","Ostracods"
"118","Paracyclops"
"119","Paracyclops chiltoni"
"120","Paracyclops chitoni"
"121","Paracyclops poppei"
"122","Picripleuroxus"
"123","Plationus"
"124","Platyias"
"125","Pleuroxus"
"126","Polyarthra"
"127","Polychaete larvae"
"128","Pseudochydorus"
"129","Pseudodiaptomus forbesi adult"
"130","Pseudodiaptomus forbesi copepodid"
"131","Pseudodiaptomus forbesi copepodite"
"132","Pseudodiaptomus nauplii"
"133","Rotifer"
"134","Rotifers"
"135","Scaphloberis"
"136","Shrimp"
"137","Sida"
"138","Simocephalus"
"139","Sinocalanus doerrii adult"
"140","Sinocalanus doerrii copepodid"
"141","Sinocalanus nauplii"
"142","Skistodiaptomus pallidus"
"143","Snail"
"144","Tanaidacea"
"145","Tardigrada"
"146","Testudinella"
"147","Tortanus"
"148","Tortanus copepodid"
"149","Trichocerca"
"150","Trichotria"
"151","Tropocyclops prasinus"
"152","Tropocylcops prasinus"
"153","Turbellaria"
"154","UNID Insect adult"
