"Year","Month","meanX2"
1996,10,84.7970967741935
1996,11,82.0326666666667
1996,12,67.47
1997,1,46.5167741935484
1997,2,44.8117857142857
1997,3,55.6448387096774
1997,4,68.5253333333333
1997,5,72.31
1997,6,76.468
1997,7,77.6193548387097
1997,8,77.728064516129
1997,9,83.3503333333333
1997,10,86.2383870967742
1997,11,83.222
1997,12,74.2554838709677
1998,1,69.0325806451613
1998,2,48.775
1998,3,47.1087096774194
1998,4,49.356
1998,5,53.0790322580645
1998,6,53.2283333333333
1998,7,58.8058064516129
1998,8,66.098064516129
1998,9,67.7996666666667
1998,10,71.6025806451613
1998,11,73.2596666666667
1998,12,62.3503225806452
1999,1,64.0035483870968
1999,2,56.0571428571429
1999,3,52.4196774193548
1999,4,58.732
1999,5,63.9429032258065
1999,6,69.762
1999,7,74.8096774193548
1999,8,79.2348387096774
1999,9,84.4863333333333
1999,10,86.2406451612903
1999,11,83.7253333333333
1999,12,79.0738709677419
2000,1,78.4161290322581
2000,2,62.1148275862069
2000,3,51.6358064516129
2000,4,61.5383333333333
2000,5,64.77
2000,6,73.3363333333333
2000,7,77.6151612903226
2000,8,79.8458064516129
2000,9,84.065
2000,10,86.901935483871
2000,11,85.037
2000,12,83.8558064516129
2001,1,79.6516129032258
2001,2,74.4153571428571
2001,3,67.7674193548387
2001,4,73.7946666666667
2001,5,75.5916129032258
2001,6,78.3993333333333
2001,7,82.5748387096774
2001,8,87.4806451612903
2001,9,88.2046666666667
2001,10,88.0764516129032
2001,11,84.633
2001,12,73.6022580645161
2002,1,64.1893548387097
2002,2,72.3617857142857
2002,3,71.6641935483871
2002,4,73.4453333333333
2002,5,73.8209677419355
2002,6,77.1313333333333
2002,7,81.2212903225806
2002,8,84.8751612903226
2002,9,87.8413333333333
2002,10,86.5829032258064
2002,11,84.4346666666667
2002,12,79.6032258064516
2003,1,62.5335483870968
2003,2,62.2960714285714
2003,3,68.5129032258065
2003,4,71.004
2003,5,62.6593548387097
2003,6,69.054
2003,7,76.578064516129
2003,8,78.5841935483871
2003,9,85.6023333333333
2003,10,88.1974193548387
2003,11,84.31
2003,12,76.3441935483871
2004,1,65.1393548387097
2004,2,65.5927586206897
2004,3,56.6948387096774
2004,4,64.6463333333333
2004,5,70.85
2004,6,81.1353333333333
2004,7,80.151935483871
2004,8,82.12
2004,9,84.6496666666667
2004,10,84.0406451612903
2004,11,80.6286666666667
2004,12,81.0432258064516
2005,1,69.5316129032258
2005,2,67.5128571428571
2005,3,64.3935483870968
2005,4,62.2496666666667
2005,5,62.0077419354839
2005,6,60.9563333333333
2005,7,71.8570967741936
2005,8,79.831935483871
2005,9,81.546
2005,10,83.5470967741935
2005,11,86.392
2005,12,78.7848387096774
2006,1,54.6561290322581
2006,2,55.0807142857143
2006,3,52.7070967741935
2006,4,45.9526666666667
2006,5,48.3506451612903
2006,6,56.912
2006,7,69.2529032258064
2006,8,76.6674193548387
2006,9,78.8723333333333
2006,10,83.6422580645161
2006,11,86.091
2006,12,83.081935483871
2007,1,79.0074193548387
2007,2,75.175
2007,3,71.4016129032258
2007,4,75.173
2007,5,75.9838709677419
2007,6,78.5406666666667
2007,7,81.6087096774194
2007,8,86.4974193548387
2007,9,86.158
2007,10,88.4532258064516
2007,11,87.8693333333333
2007,12,85.7477419354839
2008,1,74.8977419354839
2008,2,68.3144827586207
2008,3,71.2751612903226
2008,4,76.517
2008,5,77.8538709677419
2008,6,79.4776666666667
2008,7,84.4196774193548
2008,8,89.1277419354839
2008,9,88.428
2008,10,89.6870967741935
2008,11,87.2073333333333
2008,12,85.2135483870968
2009,1,83.5541935483871
2009,2,76.8767857142857
2009,3,69.0841935483871
2009,4,74.4533333333333
2009,5,72.1861290322581
2009,6,76.4353333333333
2009,7,81.8677419354839
2009,8,85.2967741935484
2009,9,87.3573333333333
2009,10,85.6767741935484
2009,11,86.2153333333333
2009,12,84.3287096774194
2010,1,78.7348387096774
2010,2,65.8410714285714
2010,3,67.7325806451613
2010,4,69.941
2010,5,67.3451612903226
2010,6,69.149
2010,7,77.65
2010,8,83.5312903225806
2010,9,85.4896666666667
2010,10,85.2561290322581
2010,11,84.0536666666667
2010,12,71.9216129032258
2011,1,60.4809677419355
2011,2,65.5821428571429
2011,3,58.8467741935484
2011,4,50.79
2011,5,55.7974193548387
2011,6,58.621
2011,7,64.8777419354839
2011,8,76.21
2011,9,75.3023333333333
2011,10,74.0151612903226
2011,11,79.4883333333333
2011,12,81.1893548387097
2012,1,81.2361290322581
2012,2,75.7979310344828
2012,3,74.4212903225806
2012,4,67.2523333333333
2012,5,69.9916129032258
2012,6,77.9303333333333
2012,7,79.3693548387097
2012,8,82.3596774193548
2012,9,86.715
2012,10,86.1574193548387
2012,11,85.3273333333333
2012,12,70.7209677419355
2013,1,65.0038709677419
2013,2,70.3421428571429
2013,3,75.3277419354839
2013,4,74.721
2013,5,76.2716129032258
2013,6,78.2223333333333
2013,7,81.4567741935484
2013,8,83.71
2013,9,83.734
2013,10,85.9312903225807
2013,11,85.6806666666667
2013,12,84.4312903225807
2014,1,85.3906451612903
2014,2,80.6957142857143
2014,3,76.6645161290323
2014,4,79.3373333333333
2014,5,84.1451612903226
2014,6,85.0456666666667
2014,7,85.6316129032258
2014,8,88.121935483871
2014,9,89.4926666666667
2014,10,88.2351612903226
2014,11,84.4043333333333
2014,12,74.1841935483871
2015,1,75.3077419354839
2015,2,76.5492857142857
2015,3,79.6877419354839
2015,4,81.2673333333333
2015,5,82.3735483870968
2015,6,83.925
2015,7,85.388064516129
2015,8,85.5745161290323
2015,9,86.105
2015,10,85.9232258064516
2015,11,85.7226666666667
2015,12,82.6674193548387
2016,1,75.158064516129
2016,2,68.3255172413793
2016,3,64.4545161290323
2016,4,63.3423333333333
2016,5,71.4054838709677
2016,6,77.3013333333333
2016,7,79.4877419354839
2016,8,80.3158064516129
2016,9,83.596
2016,10,83.9564516129032
2016,11,81.106
2016,12,73.7464516129032
2017,1,57.0103225806452
2017,2,44.6657142857143
2017,3,43.8416129032258
2017,4,48.0053333333333
2017,5,51.1648387096774
2017,6,59.399
2017,7,71.1925806451613
2017,8,76.4690322580645
2017,9,74.5373333333333
2017,10,75.5522580645161
2017,11,78.0936666666667
2017,12,79.9251612903226
2018,1,75.6067741935484
2018,2,73.9135714285714
2018,3,71.2712903225806
2018,4,62.538
2018,5,69.6996774193548
2018,6,76.523
2018,7,80.5316129032258
2018,8,81.9877419354839
2018,9,82.7556666666667
2018,10,83.8448387096774
2018,11,84.8646666666667
2018,12,79.6287096774194
2019,1,71.9496774193548
2019,2,60.0042857142857
2019,3,50.2435483870968
2019,4,50.444
2019,5,55.5664516129032
2019,6,59.2316666666667
2019,7,72.6216129032258
2019,8,76.4070967741935
2019,9,74.6096666666667
2019,10,73.7941935483871
2019,11,77.6823333333333
2019,12,75.6267741935484
2020,1,75.2570967741935
2020,2,74.02
2020,3,75.3583870967742
2020,4,75.768
2020,5,77.9051612903226
2020,6,79.057
2020,7,83.2567741935484
2020,8,87.581935483871
2020,9,87.1333333333333
2020,10,87.7235483870968
2020,11,85.226
2020,12,83.47
2021,1,82.6845161290323
2021,2,77.6064285714286
2021,3,78.5551612903226
2021,4,79.687
2021,5,83.8622580645161
2021,6,88.0053333333333
2021,7,89.2916129032258
2021,8,88.7967741935484
2021,9,89.3373333333333
2021,10,86.7764516129032
2021,11,84.9746666666667
2021,12,82.1703225806452
2022,1,72.6958064516129
2022,2,75.9896428571429
2022,3,76.3483870967742
2022,4,79.4483333333333
2022,5,83.2887096774194
2022,6,85.011
2022,7,83.8816129032258
2022,8,87.5890322580645
2022,9,89.2303333333333
2022,10,88.5864516129032
2022,11,85.7246666666667
2022,12,82.4058064516129
2023,1,64.0867741935484
2023,2,64.5917857142857
2023,3,60.1435483870968
2023,4,53.5693333333333
2023,5,54.5896774193548
2023,6,58.284
2023,7,74.5458064516129
2023,8,81.3748387096774
2023,9,79.0026666666667
