station_id,lat,lon,x,y
anh,38.01784713,-121.802883,605075.1,4208474.7
mal,38.04288249,-121.9201106,594757.5,4211123.3
frk,38.04642,-121.5981,623008.4,4211892.7
bts,38.20528,-122.06111,582201.4519,4228997.0
nsl2,38.12222,-121.888694,597451.6,4219938.0
bdl,38.186785,-121.9707745,590134.7,4227040.1
cse,38.07394957,-121.8500958,600859.1,4214643.6
god,38.1238,-122.0812,580533.214,4219949.694
gzl,38.12425,-122.038117,584309.0232,4220037.891
hon,38.0724452,-121.9392323,593045.1,4214379.2
hun,38.156,-122.0527,582994.8199,4223547.67
mrz,38.02761665,-122.1405194,575432.5,4209227.7
ryc,38.083971,-121.995878,588041.6,4215616.3
srh,38.36771516,-121.5205061,629247.7,4247651.0
ssi,38.07415,-121.76174,608608.2,4214765.6
twi,38.09746,-121.66872,616731.0,4217465.0
vol,38.180526,-122.0469582,583348.0,4226330.0
msl,38.0934,-121.8872,597578.3032,4216762.676
msd2,37.78613049,-121.3064425,649126.1,4183436.8
fal2,38.0558333,-121.6669444,616952.5,4212848.6
blp,38.0325,-121.719083,612410.9,4210203.7
glc2,37.82013889,-121.5446111,627753.0,4186838.8
gle,37.820258,-121.4348562,637754.4,4187026.5
hlt2,38.00305556,-121.5108985,630737.3,4207200.2
orm,37.7938408,-121.5173813,630537.0,4183977.0
bet2,38.034023,-121.621266,620996.1,4210486.7
lis,38.47503915,-121.5885124,623124.0,4259467.4
benbr,38.04492057,-122.1266323,576633.3,4211159.0
carqb,38.0613095,-122.2255241,567940.8,4212900.6
lbtoe,38.34944012,-121.6449015,618409.8,4245456.2
m13,38.07781,-121.76729,608116.21,4215165.61
sgg,38.3183333,-121.6930556,614250.8,4241943.7
alk,37.82722222,-122.4216667,550895.2,4186802.8
c24,38.0551,-121.95429,591743.04,4212444.61
dum,37.504,-122.119,577828.8,4151167.7
richb,37.93527778,-122.4463889,548648.5,4198778.5
rye,38.19395556,-121.6580028,617515.0,4228186.0
ryf,38.19395556,-121.6580028,617515.3,4228186.2
has,38.29415,-121.7257389,611430.5,4239220.3
dlc,38.24477822,-121.5052384,630802.2,4234030.6
lib,38.2431666,-121.6845667,615115.0,4233613.0
ucs,38.27555556,-121.7091667,612908.6,4237177.1
srv,38.14789999,-121.6898619,614797.6,4223035.8
ryi,38.21292541,-121.66896,616525.5,4230277.3
dsj,38.0130657,-121.670862,616676.6,4208098.2
dws,38.2561111,-121.6666667,616657.3,4235072.2
sdi,38.093367,-121.737267,610748.9,4216702.8
fpt,38.45601954,-121.5013437,630762.5,4257477.0
lps,38.09638889,-121.496111,631868.1,4217577.6
sjj,38.05222551,-121.6889328,615029.0,4212420.9
sjg,37.93546702,-121.3302259,646735.2,4199969.7
